img	censored	inline_censor	total_censor	redaction_type
2115090004.png	2	4	True	dark
2119340020.png	12	15	True	dark
2119340028.png	8	11	True	dark
2119340033.png	3	6	True	dark
2119340034.png	3	6	True	dark
2131470001.png	2	4	True	dark
2131480003.png	1	3	True	dark
2131480004.png	1	3	True	dark
2131480005.png	2	4	True	dark
2132690001.png	1	3	True	dark
2132690002.png	2	4	True	dark
2132720001.png	1	3	True	dark
2151180001.png	2	2	True	dark
2151180002.png	1	1	True	dark
2191720001.png	1	1	True	dark
2202540004.png	4	6	True	dark
2204620001.png	1	3	True	dark
2209720001.png	0	7	True	dark
2217390001.png	0	5	True	dark 
2222550002.png	1	1	True	dark
2222550003.png	2	2	True	dark
2222550004.png	1	1	True	dark
2222730002.png	1	1	True	dark
2225660001.png	4	5	True	dark
2231410002.png	5	5	True	dark
2232570007.png	2	4	True	dark
2232570008.png	1	3	True	dark
2235220001.png	3	4	True	dark
2235220002.png	5	5	True	dark
2235220003.png	5	5	True	dark
2238720001.png	1	1	True	dark
2248180001.png	1	1	True	dark
2248180002.png	1	1	True	dark
2248190001.png	1	1	True	dark
2248200002.png	1	1	True	dark
2248200003.png	2	2	True	dark
2267550001.png	3	3	True	dark
2267550002.png	2	2	True	dark
2267550003.png	1	1	True	dark
2267550004.png	2	2	True	dark
2270750002.png	2	5	True	dark
2270750003.png	2	4	True	dark
2338550008.png	1	1	True	dark
2339200001.png	1	1	True	dark
2339200004.png	1	1	True	dark
2339200005.png	2	2	True	dark
2339200014.png	2	2	True	dark
2352950001.png	1	1	True	dark
2352950002.png	1	1	True	dark
2356480004.png	1	1	True	dark
2358000001.png	2	2	True	dark
2397530001.png	1	1	True	dark
2397530002.png	4	4	True	dark
2397530005.png	2	4	True	dark
2433870003.png	1	1	True	dark
2433870004.png	2	2	True	dark
2433870005.png	1	1	True	dark
2433870007.png	2	2	True	dark
2433870008.png	1	1	True	dark
2433870011.png	1	1	True	dark
2433870012.png	1	1	True	dark
2433870013.png	3	3	True	dark
2433870015.png	2	2	True	dark
2433910014.png	1	1	True	dark
2433910020.png	1	1	True	dark
2453210001.png	1	1	True	dark
2453610001.png	1	1	True	dark
2796770003.png	1	1	True	dark
2796770004.png	3	3	True	dark
2796770005.png	1	1	True	dark
2796770008.png	1	1	True	dark
2796770010.png	1	1	True	dark
2796770015.png	3	3	True	dark
2796770017.png	8	8	True	dark
2796770018.png	3	3	True	dark
2796770019.png	7	7	True	dark
2796770020.png	4	4	True	dark
2796770021.png	2	2	True	dark
2796770023.png	3	3	True	dark
2796770025.png	2	2	True	dark
2796770026.png	5	5	True	dark
2796770027.png	4	4	True	dark
2796770028.png	2	2	True	dark
2796770031.png	2	2	True	dark
2796770032.png	4	4	True	dark
2797110004.png	1	1	True	dark
2797110006.png	1	1	True	dark
2797110007.png	1	1	True	dark
2797110008.png	1	1	True	dark